iB;dali11;dali22;dapi11;phase
iB_00002;20;20;10;I
iB_00003;0;50;10;I
iB_00004;100;100;80;I
iB_00005;90;100;10;I
iB_00006;80;100;0;I
iB_00007;10;100;40;I
iB_00008;10;100;30;I
iB_00009;20;30;10;I
iB_00010;100;100;50;I
iB_00011;100;100;100;I
iB_00012;10;30;50;I
iB_00014;0;100;50;I
iB_00015;50;100;10;I
iB_00016;0;0;20;I
iB_00017;30;90;30;I
iB_00018;0;0;100;I
iB_00019;10;10;100;I
iB_00020;0;10;0;I
iB_00021;30;30;0;I
iB_00022;20;100;0;I
iB_00023;30;100;30;I
iB_00024;0;0;50;I
iB_00025;20;80;40;I
iB_00026;100;100;100;I
iB_00027;10;10;30;I
iB_00028;80;100;40;I
iB_00029;100;100;30;I
iB_00030;0;20;0;I
iB_00031;100;100;100;I
iB_00032;100;100;40;I
iB_00033;0;0;0;I
iB_00034;10;20;10;I
iB_00035;90;90;40;I
iB_00036;10;10;100;I
iB_00037;20;100;20;I
iB_00038;10;60;20;I
iB_00039;100;100;60;I
iB_00040;40;50;10;I
iB_00041;10;10;30;I
iB_00042;0;10;20;I
iB_00043;0;10;20;I
iB_00044;90;100;10;I
iB_00045;0;10;20;I
iB_00046;0;0;40;I
iB_00047;60;100;20;I
iB_00048;10;20;20;I
iB_00049;10;10;0;I
iB_00050;100;100;10;I
iB_00051;0;0;60;I
iB_00052;0;10;20;I
iB_00053;100;100;100;I
iB_00054;70;100;20;I
iB_00055;100;100;100;I
iB_00056;20;20;10;I
iB_00057;0;10;40;I
iB_00058;10;10;0;I
iB_00060;20;20;10;I
iB_00061;10;10;30;I
iB_00062;90;100;70;I
iB_00063;100;100;100;I
iB_00064;0;0;10;I
iB_00065;0;0;50;I
iB_00066;20;20;40;I
iB_00067;10;100;0;I
iB_00068;0;10;30;I
iB_00069;10;60;0;I
iB_00070;10;10;0;I
iB_00072;20;30;10;I
iB_00073;0;0;30;I
iB_00074;0;62.5;0;I
iB_00075;0;0;10;I
iB_00076;20;20;30;I
iB_00077;20;20;0;I
iB_00078;20;20;70;I
iB_00080;80;100;60;I
iB_00081;0;0;30;I
iB_00082;60;100;10;I
iB_00083;0;100;0;I
iB_00084;10;10;20;I
iB_00085;0;30;20;I
iB_00086;0;10;0;I
iB_00087;0;10;0;I
iB_00088;0;62.5;50;I
iB_00089;10;20;20;I
iB_00090;0;10;30;I
iB_00091;10;50;20;I
iB_00092;20;20;10;I
iB_00093;60;100;80;I
