id,label,PC1,PC2
iB_13110,1,-3.253246,-2.1495764
iB_16279,1,-7.071946,-2.5104651
iB_15503,1,-6.2579417,-0.11425187
iB_03124,1,-6.5096774,0.7169216
iB_08349,1,-7.1404133,4.073272
iB_07144,1,-8.027863,-1.2485535
iB_04950,1,-7.34394,0.5575031
iB_00833,1,-7.5874996,1.5484829
iB_05776,1,-7.7254767,0.58137757
iB_07175,1,-7.2646356,2.5256748
iB_03389,1,-7.4829726,1.6082797
iB_15322,1,-6.260998,3.3012989
iB_05252,1,-5.6106067,-1.5032701
iB_09268,1,-7.424079,2.2980845
iB_05032,1,-7.2287946,1.6924273
iB_01818,1,-8.24391,0.011684428
iB_17493,1,-6.2700353,-1.4838535
iB_13390,1,-5.8291206,2.5707085
iB_12517,1,-3.066191,-3.0096087
iB_13441,1,-7.2852087,1.0066805
iB_16864,1,-4.930605,0.06448024
iB_09497,1,-5.3071246,-2.6145763
iB_14456,1,-1.687592,1.7004063
iB_12851,1,-3.0592601,-2.8904154
iB_00804,1,-8.024078,1.4655881
iB_07239,1,-7.7963076,-1.2000943
iB_13691,1,-6.032127,-4.184985
iB_09054,1,-5.766555,3.4720879
iB_15700,1,-6.83422,3.5076118
iB_10425,1,-7.055059,0.21021965
iB_10772,1,-0.34112585,-1.3615447
iB_13353,1,-7.944109,-0.18327583
iB_17210,1,-6.3234143,2.9347396
iB_05154,1,-7.5242505,1.0653356
iB_00742,1,-0.6032383,-1.9180171
iB_16737,1,-0.70429134,-3.2785008
iB_15131,1,-5.8483634,-3.5033474
iB_12996,1,-5.881407,2.81037
iB_05835,1,-6.778551,-2.556876
iB_15206,1,-6.069452,1.1758252
iB_08734,1,-7.703649,1.6858824
iB_16434,1,-4.5111747,4.6633153
iB_05242,1,-7.0918775,2.927743
iB_04363,1,-7.711106,0.50327873
iB_16984,1,-6.2440805,-4.6313543
iB_02679,1,-7.082234,2.5195434
iB_00189,1,-7.2122154,-0.2366947
iB_15788,1,-3.5077233,0.7399407
iB_15193,1,-6.9153647,-0.054293133
iB_04040,1,-7.870576,-0.41676134
iB_17175,1,-6.7799726,2.8032088
iB_09732,1,-5.7594314,0.7688229
iB_07348,1,-7.1865807,0.24993211
iB_09390,1,-5.538917,2.812335
iB_02302,1,-7.6578617,0.13080442
iB_10121,1,-6.477822,-0.017244898
iB_15201,1,-6.3918285,-1.1495413
iB_03437,1,-6.9155083,2.093471
iB_07236,1,-7.158206,3.7621129
iB_09421,1,-6.7602477,-0.29836914
iB_04407,1,-8.174963,0.8272968
iB_06707,1,-3.8586807,6.891796
iB_04020,1,-7.466032,-1.2750369
iB_14685,1,-6.4927435,2.0967524
iB_05319,1,-7.482201,2.6875525
iB_09457,1,-8.018941,-1.5387824
iB_09638,1,-7.6246295,-2.3239667
iB_07598,1,-7.0435686,4.05772
iB_02640,1,-6.2145066,0.05410848
iB_12270,1,-6.322512,3.0617783
iB_08629,1,-6.384282,-3.0468636
iB_01576,1,-7.7958674,0.76761395
iB_05311,1,-6.0381308,2.9552433
iB_00400,1,-8.154619,0.54347074
iB_01794,1,-7.1607175,-0.47360295
iB_06840,1,-4.2465076,4.7175903
iB_12347,1,-6.085714,2.7646587
iB_03027,1,-3.0303912,-2.5294077
iB_13895,1,-7.284948,-1.1204851
iB_09223,1,-6.94224,3.2512903
iB_09737,1,-4.2669196,0.28533107
iB_07376,1,-5.7083044,1.4405456
iB_01037,1,-8.076365,0.6908684
iB_06000,1,-8.566824,-1.7074609
iB_17488,1,-7.3928595,-0.36702687
iB_14231,1,-3.6972094,5.5552344
iB_16321,1,3.4473543,8.143123
iB_14955,1,-2.9938564,6.8332973
iB_06539,1,-7.8383803,1.0578488
iB_12648,1,3.0850396,0.02666041
iB_04495,1,-6.803734,4.680065
iB_15802,1,7.630884,-2.6177592
iB_02615,1,-7.535805,3.3344665
iB_06023,1,-8.054977,0.12183961
iB_12869,1,-2.7250373,-1.082674
iB_12521,1,-7.1918325,-0.39484894
iB_09462,1,-7.31029,-0.11180573
iB_04571,1,-4.6107354,-5.7348294
iB_17536,1,-5.1349573,-1.5180757
iB_13145,1,-3.3502345,-3.887049
iB_01099,1,-8.167428,-1.3215822
iB_01040,1,-7.815948,1.6186182
iB_10628,1,-6.533826,3.7331731
iB_15865,1,-8.105628,-0.1963149
iB_04319,1,-5.444658,3.398082
iB_09708,1,-3.5266197,3.7721949
iB_16371,1,-5.38276,3.8452961
iB_06247,1,-7.9009795,1.6418518
iB_00165,1,-6.4041357,1.6541127
iB_05226,1,-6.6659317,0.9852588
iB_01414,1,-8.328566,0.29176337
iB_06022,1,-1.39362,-2.4829419
iB_16666,1,1.3119711,-1.5667841
iB_00831,1,-7.8836794,-1.3349994
iB_10704,1,-6.0485787,1.0390689
iB_05821,1,-7.2651796,2.8418567
iB_14933,1,-6.2513375,-1.347173
iB_10295,1,-7.0475345,0.41948098
iB_17153,1,-2.0029523,7.165032
iB_08327,1,-7.627624,2.157447
iB_05378,1,-6.9908648,-0.14091952
iB_08503,1,-6.067431,0.6889332
iB_05934,1,-7.675862,-0.80425197
iB_15815,1,-7.678245,0.8322245
iB_17515,1,-6.726513,-4.1114397
iB_12548,1,-7.1488247,1.4720896
iB_16909,1,-5.597346,4.9152927
iB_00513,1,-7.6084557,-0.28963947
iB_13340,1,-8.011022,-3.8052282
iB_03472,1,-7.5585046,1.0078466
iB_16896,1,-6.8155212,-3.365094
iB_07872,1,-5.458569,-2.183147
iB_05536,1,-7.277877,1.1470789
iB_01088,1,-7.627192,-0.17159943
iB_16849,1,-0.1040151,-6.737795
iB_17197,1,-6.9806237,-1.3043292
iB_00034,1,-7.567784,1.7270641
iB_16457,1,-6.1565504,4.230865
iB_02269,1,-7.20627,0.4879643
iB_05803,1,-8.136664,0.32299235
iB_16243,1,4.8608117,-5.487906
iB_13992,1,-7.26869,-0.42460358
iB_14300,1,-3.4154136,7.9509273
iB_05789,1,-3.972324,0.18365611
iB_06688,1,-5.8496428,-1.7137882
iB_15879,1,-7.528829,0.7282608
iB_14909,1,-4.935503,-2.4794211
iB_02180,1,-6.100939,-1.4056457
iB_15692,1,-5.4377537,-0.63432956
iB_07312,1,-6.688013,1.9288396
iB_15384,1,-6.5938826,-0.63586205
iB_07512,1,-6.1547575,-3.412976
iB_15460,1,-6.2064743,3.2788026
iB_17490,1,-6.5511723,-4.036863
iB_10522,1,-6.462661,2.0615196
iB_17612,1,-5.2481065,-5.2652926
iB_13138,1,-4.6879873,1.5530941
iB_08386,1,-4.7192974,-3.7600088
iB_10555,1,-4.280697,-1.321483
iB_14075,1,-5.030847,-1.3786696
iB_13869,1,-5.960477,3.112247
iB_16223,1,-6.4947705,-1.6570804
iB_03730,1,-5.9602156,1.1135153
iB_06381,1,-7.782908,2.1445158
iB_16013,1,-5.7966666,1.484494
iB_17360,1,-3.3901289,3.2809708
iB_15804,1,-6.1829233,-2.7577372
iB_04215,1,-7.354986,-0.36449468
iB_09170,1,-6.866962,0.4682286
iB_05661,1,-6.7145066,-0.3365748
iB_01867,1,-7.2124295,1.0627127
iB_00229,1,-8.298814,-1.2608232
iB_12407,1,-7.673758,-0.71874833
iB_16374,1,-8.545798,-1.1563431
iB_04347,1,-7.9078255,-1.9531751
iB_02579,1,-7.553084,-0.8878717
iB_13367,1,-6.541097,-0.63476014
iB_01813,1,-0.63633746,-1.7340407
iB_08969,1,-5.123228,-2.7303224
iB_10959,1,-6.4368443,0.81273526
iB_00886,1,-6.895304,-2.878221
iB_02398,1,-7.134387,0.55887085
iB_13991,1,-4.8755107,4.0720787
iB_00737,1,-7.2869716,1.5980877
iB_15165,1,-7.0937133,0.4819242
iB_06952,1,-6.2768,-4.538092
iB_16397,1,-5.110974,1.5181068
iB_16813,1,-4.082077,-5.3216133
iB_08854,1,-6.8139505,-1.3681667
iB_01165,1,-6.7144475,-1.5163943
iB_06532,1,-7.067784,-1.7032552
iB_12255,1,-6.7617893,-1.0903369
iB_08963,1,-8.166873,-0.9964206
iB_01972,1,-4.119093,-2.1095107
iB_01889,1,-7.147735,3.4210076
iB_10169,1,-6.7377033,1.7385614
iB_03861,1,-8.197926,0.2435642
iB_03877,1,-7.8224225,0.90964913
iB_03344,1,-6.4303546,-0.8936851
iB_16413,1,-6.2555027,0.6353709
iB_01203,1,-6.463648,2.6062446
iB_14033,1,-4.301725,-6.7602286
iB_06426,1,-7.5926604,-1.0801032
iB_07637,1,-7.221657,-1.3118361
iB_01898,1,-8.1023655,0.61478394
iB_09925,1,-6.470335,-4.723931
iB_10337,1,-6.4042306,-1.7639774
iB_10890,1,-0.105325,-1.3779478
iB_04119,1,-8.510096,0.4898974
iB_16916,1,-3.7464917,2.2921844
iB_06329,1,-5.816092,1.6613375
iB_07001,1,-8.005708,-2.2045362
iB_05882,1,-5.798252,3.7020772
iB_17179,1,-4.411603,-0.86846757
iB_15233,1,-7.1371775,-0.23999734
iB_12243,1,1.6952811,-4.24067
iB_00062,1,-6.0974417,1.1228702
iB_12798,1,-8.194086,-1.4923702
iB_09779,1,-4.02786,4.008071
iB_07005,1,-6.831099,-3.4215844
iB_14706,1,-6.559577,1.6320131
iB_04620,1,-7.0696096,0.49326718
iB_03658,1,-4.8198004,4.834847
iB_01370,1,-4.2611456,-4.1425614
iB_15945,1,2.2364404,-1.5388589
iB_16487,1,-2.093546,1.130579
iB_16535,1,-4.3978224,-1.7879856
iB_10099,1,-6.806777,1.5928401
iB_03753,1,-7.299144,-0.97320443
iB_12460,1,-8.140508,0.05005773
iB_17382,1,-5.032921,2.2916956
iB_00975,1,-8.380954,-0.82493204
iB_12558,1,-6.3976393,2.2896063
iB_16332,1,-0.07790612,-0.80848193
iB_09588,1,-7.623134,0.9966946
iB_05599,1,-7.703415,2.9075973
iB_14224,1,-6.84089,1.6787323
iB_07400,1,-6.3556757,3.5728421
iB_09437,1,-6.63893,1.1506059
iB_17222,1,-6.0750213,3.6833608
iB_02815,1,-7.873283,1.669217
iB_15429,1,-7.37701,0.6646901
iB_14311,1,-7.305101,0.5261922
iB_07212,1,-3.6088057,-4.270128
iB_01839,1,-7.957407,0.6415013
iB_02682,1,-6.5191455,1.2171556
iB_15759,1,-7.8463707,-2.4876668
iB_17533,1,-2.951269,-1.7869112
iB_06762,1,0.25215688,-8.023208
iB_08301,1,-6.5168414,-1.7982756
iB_06780,1,-6.9251237,1.3122683
iB_04311,1,-8.286436,1.6691045
iB_12397,1,-7.591661,1.0993944
iB_06681,1,-6.831388,0.11027794
iB_15046,1,-2.5912466,-7.463193
iB_01634,1,-6.9574456,3.2340739
iB_14531,1,-7.038739,3.5429585
iB_02694,1,-6.543786,-2.3328507
iB_09924,1,-5.524589,-2.891805
iB_15793,1,-7.027077,-3.0541105
iB_10873,1,-6.54615,2.003187
iB_16431,1,-6.200062,-2.6266718
iB_05540,1,-5.3705945,3.572692
iB_06248,1,-7.8052983,-0.29870796
iB_14023,1,-7.8307133,-1.718543
