id_a,id_b,gene_a,gene_b,shared_20mers,coverage_a,coverage_b
iB_03708,iB_03288,TC032966,TC034284,418,0.926829268292683,0.926829268292683
iB_05197,iB_03181,TC035002,TC034227,445,0.956989247311828,0.956989247311828
iB_06120,iB_05947,unknown_iB_06120,TC031818,426,1.0,1.0
iB_06537,iB_06495,TC034396,TC011618,375,0.8314855875831486,0.8314855875831486
iB_06678,iB_03291,unknown_iB_06678,TC031636,453,1.0,1.0
iB_06719,iB_03747,unknown_iB_06719,TC004405,457,1.0,1.0
iB_06759,iB_04225,unknown_iB_06759,TC031564,461,1.0,1.0
iB_06779,iB_01100,TC031165,TC015454,305,0.8111702127659575,0.6112224448897795
iB_06946,iB_03468,unknown_iB_06946,TC002908,491,1.0,1.0
iB_07257,iB_04257,unknown_iB_07257,TC007026,507,1.0,1.0
iB_07378,iB_07302,TC000841,unknown_iB_07302,520,1.0,1.0
iB_09823,iB_09543,unknown_iB_09823,TC034027,142,1.0,1.0
iB_12120,iB_12106,TC003449,TC002985,222,1.0,1.0
iB_12175,iB_12174,TC005096,TC005093,161,0.71875,0.755868544600939
iB_12180,iB_03912,TC005160,TC033284,148,0.7184466019417476,0.33109619686800895
iB_12229,iB_12216,TC006134,TC006017,141,0.6714285714285714,0.6746411483253588
iB_12235,iB_04082,TC006184,TC033983,156,0.5735294117647058,0.3842364532019704
iB_12402,iB_12172,TC008501,TC005042,143,0.6163793103448276,0.8773006134969326
iB_12538,iB_12172,TC010389,TC005042,93,0.5568862275449101,0.5705521472392638
iB_13068,iB_13067,TC030160,TC030159,210,1.0,0.967741935483871
iB_13213,iB_12555,TC031234,TC010573,247,0.9427480916030534,0.96484375
iB_13277,iB_11008,TC031978,TC033447,126,0.50199203187251,0.6237623762376238
iB_13417,iB_13041,TC033408,TC030044,73,0.35096153846153844,0.6134453781512605
iB_13520,iB_05119,TC034418,TC034419,154,0.7403846153846154,0.32905982905982906
iB_13589,iB_12291,TC000035,TC006963,80,0.43956043956043955,0.64
iB_13605,iB_12077,TC002267,TC001821,194,0.9651741293532339,0.9651741293532339
iB_13608,iB_07386,TC002322,TC031693,108,0.7248322147651006,0.18717504332755633
iB_13622,iB_06193,TC005230,TC032002,228,1.0,0.4461839530332681
iB_13652,iB_12077,TC010554,TC001821,134,0.4557823129251701,0.6666666666666666
iB_13709,iB_00593,TC032444,TC032445,178,0.717741935483871,0.3795309168443497
iB_13741,iB_13740,TC005209,TC004100,180,0.7142857142857143,0.8450704225352113
iB_13748,iB_00407,TC000018,TC031333,149,0.745,0.28709055876685935
iB_13833,iB_02575,TC001391,TC016332,154,0.7938144329896907,0.32421052631578945
iB_13858,iB_05223,TC001961,TC012353,204,1.0,0.4188911704312115
iB_13861,iB_13853,TC001994,TC001860,130,0.7647058823529411,0.6467661691542289
iB_13890,iB_08041,TC002531,TC032618,245,1.0,0.4832347140039448
iB_13980,iB_06961,TC003592,TC005206,165,0.8168316831683168,0.4435483870967742
iB_14035,iB_03702,TC005047,TC035038,210,0.8015267175572519,0.46255506607929514
iB_14047,iB_06355,TC005141,TC015753,128,0.540084388185654,0.26556016597510373
iB_14188,iB_06235,TC007326,TC031105,264,1.0,0.5333333333333333
iB_14245,iB_04306,TC008196,TC031107,182,0.8625592417061612,0.3654618473895582
iB_14436,iB_03325,TC011505,TC033931,195,0.8666666666666667,0.3584558823529412
iB_14465,iB_14271,TC011903,TC008568,57,0.5,0.252212389380531
iB_14533,iB_03326,TC012981,TC035031,147,0.7135922330097088,0.3141025641025641
iB_14647,iB_05410,TC014530,TC031195,120,0.5042016806722689,0.2631578947368421
iB_14687,iB_05740,TC015008,TC015681,141,0.7014925373134329,0.31194690265486724
iB_14726,iB_14680,TC015733,TC014964,267,1.0,1.0
iB_14730,iB_12928,TC015786,TC014918,233,1.0,1.0
iB_14772,iB_06159,TC016417,TC003245,112,0.7368421052631579,0.20588235294117646
iB_14896,iB_03736,TC031450,TC031451,202,1.0,0.376865671641791
iB_14938,iB_13882,TC031751,TC002362,107,0.5194174757281553,0.7925925925925926
iB_14955,iB_01042,TC031825,TC006388,119,0.8623188405797102,0.21794871794871795
iB_14961,iB_13868,TC031890,TC002094,224,1.0,0.7777777777777778
iB_15273,iB_15272,TC034071,TC034070,147,0.6933962264150944,0.7313432835820896
iB_15290,iB_06787,TC034207,TC034957,167,0.784037558685446,0.31688804554079697
iB_15310,iB_15309,TC034391,TC034390,145,0.6971153846153846,0.6839622641509434
iB_15444,iB_15443,TC034988,TC034956,201,1.0,1.0
iB_15451,iB_07351,TC002334,unknown_iB_07351,159,0.7535545023696683,0.29831144465290804
iB_15461,iB_15374,TC031177,TC034760,223,1.0,1.0
iB_15473,iB_15468,TC034758,TC033527,201,0.995049504950495,0.8553191489361702
iB_15502,iB_07771,TC031915,TC035024,171,0.6812749003984063,0.333984375
iB_15538,iB_15413,TC032707,TC035015,215,1.0,1.0
iB_15549,iB_14388,TC034972,TC010487,179,0.8099547511312217,0.7816593886462883
iB_15563,iB_13816,TC000370,TC001177,124,0.4940239043824701,0.6326530612244898
iB_15569,iB_15548,TC034998,TC032983,256,1.0,1.0
iB_15571,iB_03359,TC002352,TC002356,245,0.928030303030303,0.49
iB_15581,iB_15553,TC031597,TC032709,152,1.0,0.5891472868217055
iB_15585,iB_02515,TC014906,TC015810,130,0.5462184873949579,0.2844638949671772
iB_15608,iB_08629,TC033560,TC034762,210,1.0,0.3783783783783784
iB_15624,iB_15611,TC033986,TC031273,201,1.0,1.0
iB_15637,iB_04239,TC034499,TC034933,209,1.0,0.4354166666666667
iB_15638,iB_15629,TC014914,TC005143,86,0.7747747747747747,0.589041095890411
iB_15656,iB_02805,TC013257,TC033186,182,0.6618181818181819,0.5069637883008357
iB_15660,iB_15613,TC034078,TC034839,224,0.835820895522388,0.8582375478927203
iB_15670,iB_01100,TC010393,TC015454,149,0.5457875457875457,0.2985971943887776
iB_15680,iB_15414,TC031896,TC035016,223,1.0,1.0
iB_15691,iB_07286,TC002342,TC031753,280,1.0,0.5797101449275363
iB_15700,iB_15428,TC004912,TC030932,157,0.7810945273631841,0.6796536796536796
iB_15751,iB_15010,TC003049,TC032358,90,0.703125,0.37037037037037035
iB_15767,iB_15695,TC032768,TC034649,203,1.0,0.875
iB_15811,iB_10892,TC013584,TC014221,102,0.5483870967741935,0.46788990825688076
iB_15844,iB_07007,TC002708,TC032496,193,0.7366412213740458,0.5273224043715847
iB_15914,iB_08047,TC000155,TC010473,183,0.8511627906976744,0.36023622047244097
iB_15960,iB_08062,TC034639,unknown_iB_08062,191,0.8681818181818182,0.37450980392156863
iB_15983,iB_15968,TC035007,TC031223,112,0.5209302325581395,0.49777777777777776
iB_16027,iB_13814,TC000429,TC001140,147,0.7135922330097088,1.0
iB_16047,iB_16003,TC005155,TC004101,188,0.8506787330316742,0.8506787330316742
iB_16060,iB_06774,TC035001,TC034966,84,0.7567567567567568,0.18584070796460178
iB_16069,iB_14415,TC033905,TC010985,105,0.5223880597014925,0.44871794871794873
iB_16077,iB_14374,TC001587,TC010299,145,0.6016597510373444,0.7552083333333334
iB_16121,iB_00305,TC002040,TC034969,115,1.0,0.2680652680652681
iB_16135,iB_15432,TC001854,TC002020,153,0.7320574162679426,0.7320574162679426
iB_16153,iB_15895,TC011891,TC012617,191,0.7074074074074074,0.8681818181818182
iB_16160,iB_05760,TC015565,TC015145,162,1.0,0.3537117903930131
iB_16220,iB_16135,TC005150,TC001854,106,0.45493562231759654,0.507177033492823
iB_16360,iB_16345,TC010391,TC030938,68,0.422360248447205,0.5666666666666667
iB_16407,iB_06961,TC004213,TC005206,80,0.6666666666666666,0.21505376344086022
iB_16416,iB_16368,TC011591,TC001486,115,0.6149732620320856,0.4831932773109244
iB_16446,iB_15448,TC032713,TC032281,218,0.9276595744680851,0.889795918367347
iB_16453,iB_15595,TC030936,TC006926,187,0.8130434782608695,0.9303482587064676
iB_16453,iB_15700,TC030936,TC004912,143,0.6217391304347826,0.7114427860696517
iB_16459,iB_16003,TC010621,TC004101,114,1.0,0.5158371040723982
iB_16468,iB_16351,TC010688,TC002326,246,0.8512110726643599,0.8512110726643599
iB_16469,iB_16360,TC030918,TC010391,84,1.0,0.5217391304347826
iB_16470,iB_15433,TC031073,TC002036,59,0.7108433734939759,1.0
iB_16470,iB_16360,TC031073,TC010391,42,0.5060240963855421,0.2608695652173913
iB_16488,iB_16003,TC011486,TC004101,86,0.7107438016528925,0.3891402714932127
iB_16546,iB_16494,TC004271,TC030927,57,0.504424778761062,0.49137931034482757
iB_16626,iB_16598,TC016144,TC005156,78,0.6341463414634146,0.6724137931034483
iB_16822,iB_13621,TC002200,TC005226,130,0.625,0.6435643564356436
iB_16833,iB_12077,TC002640,TC001821,109,0.5422885572139303,0.5422885572139303
iB_16840,iB_12471,TC002843,TC009448,145,0.6170212765957447,0.614406779661017
iB_16845,iB_13948,TC003292,TC003168,205,1.0,1.0
iB_16938,iB_15487,TC003599,TC002840,107,0.5023474178403756,0.4037735849056604
iB_16962,iB_15620,TC004211,TC010984,136,0.7727272727272727,0.5938864628820961
iB_16967,iB_16216,TC015887,TC006916,111,1.0,0.6809815950920245
iB_16972,iB_15531,TC002370,TC000135,121,0.49387755102040815,0.599009900990099
iB_17002,iB_07781,TC031080,TC034815,155,0.8031088082901554,0.35962877030162416
iB_17006,iB_13212,TC002022,TC031219,223,1.0,1.0
iB_17018,iB_16216,TC006915,TC006916,152,0.9620253164556962,0.9325153374233128
iB_17030,iB_07386,TC012968,TC031693,241,0.9233716475095786,0.41767764298093585
iB_17048,iB_14271,TC002176,TC008568,125,0.6218905472636815,0.5530973451327433
iB_17048,iB_14521,TC002176,TC012886,73,0.36318407960199006,0.5251798561151079
iB_17418,iB_12533,TC005002,TC010339,142,0.5748987854251012,0.5163636363636364
iB_17463,iB_13269,TC031908,TC031913,138,0.6301369863013698,0.6540284360189573
iB_17488,iB_13856,TC001915,TC001948,161,0.7777777777777778,0.8385416666666666
iB_17499,iB_07965,TC003465,TC003466,220,1.0,0.43564356435643564
iB_17561,iB_15489,TC004335,TC002180,122,0.8591549295774648,0.7134502923976608
iB_17563,iB_14300,TC009952,TC008890,164,0.6978723404255319,0.7354260089686099
iB_17564,iB_15429,TC031950,TC031085,108,0.5625,0.6390532544378699
