id,original_gene,OGS3_gene,published_gene_symbol,evidence,publication_doi
original_external_00,TC008129,TC008129,NAA30,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_06,TAF1,TC015921,NAA40,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_11,TC008190,TC008190,NAA16,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_12,TC007435,TC007435,NAT10,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_13,TC008518,TC008518,MCM3AP,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_14,TC011945,TC011945,KAT7,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_15,TC002507,TC002507,TAF1,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_16,TC002077,TC002077,HAT1,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_17,TC009267,TC009267,KAT14,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_18,TC014774,TC014774,KAT2A,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
original_external_19,TC015420,TC015420,NAA25,Published cognate-dsRNA knockdown experiment; Figure 1A and Supplementary Data 2; outcome magnitude is not used in current classification,10.1038/s42003-024-06212-7
